id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
18820,984,1604017810,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,8470,0,,0
18839,984,1604017835,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,21071,0,,0
18857,984,1604017848,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,5102,0,,0
18868,984,1604017859,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,1951,0,,0
18873,984,1604017862,0,0,contact,,,,34,163c5756-82af-49e8-999f-57b1c8427dc3,62151,0,,0
18883,984,1604017877,0,0,contact,,,,34,851b759b-4718-4226-b8bc-95259382da1e,69412,0,,0
18888,1011,1604017884,0,0,contact,,,,34,d8c2d1b0-81e1-448f-84df-f894d92b8437,49614,0,,0
18890,961,1604017888,0,0,contact,,,,34,95e4d1c7-3c15-44c2-bbf9-3198febe731a,93911,0,,0
18892,962,1604017894,0,0,contact,,,,34,9adf3eae-fc91-4db2-be6d-e2801eec23cd,92432,0,,0
18896,984,1604017897,0,0,contact,,,,34,fa459af0-c21c-4135-824b-518e401db606,89434,0,,0
18897,984,1604017897,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,32425,0,,0
18910,962,1604017913,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,66735,0,,0
18911,957,1604017914,0,0,contact,,,,34,9adf3eae-fc91-4db2-be6d-e2801eec23cd,104786,0,,0
18922,965,1604017931,0,0,contact,,,,34,9adf3eae-fc91-4db2-be6d-e2801eec23cd,121186,0,,0
18962,958,1604017990,0,0,contact,,,,34,9ff7d0b7-ede9-4d30-bb74-d09deb884f28,161341,0,,0
18976,1018,1604018018,0,0,contact,,,,34,b24ae3df-8b1d-4d08-b193-be66094c853c,170021,0,,0
18977,1005,1604018020,0,0,contact,,,,34,fa459af0-c21c-4135-824b-518e401db606,60509,0,,0
18978,1023,1604018023,0,0,contact,,,,34,9ff7d0b7-ede9-4d30-bb74-d09deb884f28,161445,0,,0
18983,958,1604018026,0,0,contact,,,,34,430d4086-2818-4481-958b-1fb662906044,161933,0,,0
18988,963,1604018028,0,0,contact,,,,34,430d4086-2818-4481-958b-1fb662906044,166351,0,,0
18991,1023,1604018032,0,0,contact,,,,34,ab27d78e-e9ab-42a9-96fd-82833d5a06cc,168294,0,,0
18996,1006,1604018035,0,0,contact,,,,34,577b6844-e392-4381-9d06-bf3c1a0beb45,168961,0,,0
19016,957,1604018071,0,0,contact,,,,34,dfc9b2dd-46b5-4cf9-8f1c-452577170f11,162792,0,,0
19018,1011,1604018076,0,0,contact,,,,34,b1eca54b-c5c5-44ba-b3c1-61c9ab42b7ed,58795,0,,0
19019,1011,1604018076,0,0,contact,,,,34,6fb8c183-c23f-417d-9437-1c90ab421228,42215,0,,0
19031,1023,1604018099,0,0,contact,,,,34,9ff7d0b7-ede9-4d30-bb74-d09deb884f28,68532,0,,0
19032,963,1604018099,0,0,contact,,,,34,430d4086-2818-4481-958b-1fb662906044,69069,0,,0
19039,964,1604018103,0,0,contact,,,,34,bd2e46b6-f53f-49ab-9bd4-1d4ffdf9057f,120014,0,,0
19040,1040,1604018103,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,119922,0,,0
19041,1038,1604018106,0,0,contact,,,,34,163c5756-82af-49e8-999f-57b1c8427dc3,63586,0,,0
19042,965,1604018101,0,0,contact,,,,34,41a68d00-4759-47d7-9e82-a31c64da5496,308733,0,,0
19043,962,1604018107,0,0,contact,,,,34,3bd1955e-498b-43c8-8bb0-28a50e6a132d,64310,0,,0
19047,1038,1604018111,0,0,contact,,,,34,851b759b-4718-4226-b8bc-95259382da1e,86965,0,,0
19049,957,1604018112,0,0,contact,,,,34,3bd1955e-498b-43c8-8bb0-28a50e6a132d,88554,0,,0
19068,1011,1604018141,0,0,contact,,,,34,085c6f6c-c212-42a0-b106-3d0e8343a395,31308,0,,0
19069,1006,1604018142,0,0,contact,,,,34,58df9ee7-8729-4206-876e-9d491480b49c,291346,0,,0
19080,979,1604018155,0,0,contact,,,,34,58df9ee7-8729-4206-876e-9d491480b49c,271609,0,,0
19081,1011,1604018155,0,0,contact,,,,34,577b6844-e392-4381-9d06-bf3c1a0beb45,292688,0,,0
19086,1031,1604018159,0,0,contact,,,,34,6fb8c183-c23f-417d-9437-1c90ab421228,64108,0,,0
19088,1047,1604018159,0,0,contact,,,,34,085c6f6c-c212-42a0-b106-3d0e8343a395,64651,0,,0
19089,1030,1604018160,0,0,contact,,,,34,6dee3be3-4e5a-4e4d-bf8f-31fb0e8f3b8c,162893,0,,0
19091,1040,1604018160,0,0,contact,,,,34,9adf3eae-fc91-4db2-be6d-e2801eec23cd,65206,0,,0
19092,1006,1604018160,0,0,contact,,,,34,7492b8cc-e8d0-44fa-b63a-60a459994c36,62285,0,,0
19093,1039,1604018160,0,0,contact,,,,34,d8c2d1b0-81e1-448f-84df-f894d92b8437,62774,0,,0
19094,984,1604018158,0,0,contact,,,,34,bd2e46b6-f53f-49ab-9bd4-1d4ffdf9057f,65566,0,,0
19098,965,1604018163,0,0,contact,,,,34,c894621f-2443-468a-a635-d0f8c4a45b9d,198797,0,,0
19100,960,1604018163,0,0,contact,,,,34,fa459af0-c21c-4135-824b-518e401db606,198912,0,,0
19106,1020,1604018168,0,0,contact,,,,34,f72b507a-5071-4c02-8fdf-5c1e3a33fa1f,316025,0,,0
