id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
2110,88,1595986772,0,0,outcome,,,ESCAPED,7,,0,0,,0
2111,97,1595995794,0,0,outcome,,,ESCAPED,7,,0,0,,0
2513,145,1596040426,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,20255,0,,0
2519,135,1596040749,0,0,infection,CASE0[0],,,7,,0,0,,0
2525,151,1596041030,0,0,contact,,,,7,fe1181e7-fdbb-44e0-bed9-9d0e263c2d39,114727,0,,0
2531,154,1596041280,0,0,infection,CASE0[0],,,7,,0,0,,0
2537,151,1596042039,0,0,contact,,,,7,67f86544-946c-42ef-8ffe-e3bc76b94eee,65209,0,,0
2543,123,1596043920,0,0,outcome,,,ESCAPED,7,,0,0,,0
2550,88,1596046040,0,0,contact,,,,7,974bf533-30f3-4f92-bb1f-7e9bdfeef8ae,170043,0,,0
2556,140,1596048866,0,0,infection,CASE0[0],,,6,,0,0,,0
2562,145,1596051298,0,0,contact,,,,6,4d1fa7be-718f-4047-92af-6babb0bf19cc,37347,0,,0
2568,145,1596052576,0,0,contact,,,,6,4ac14b7f-3be1-47a8-9158-4f1f9a4bc86c,31411,0,,0
2501,131,1596039859,0,0,contact,,,,7,3d5ed417-4883-48b3-a7b3-662343ccf3a7,177091,0,,0
2514,145,1596040493,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,59836,0,,0
2520,145,1596040793,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,69156,0,,0
2526,145,1596041052,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,11274,0,,0
2532,143,1596041409,0,0,outcome,,,ESCAPED,6,,0,0,,0
2538,151,1596042366,0,0,contact,,,,7,516defd8-f075-410f-be06-8cf24dedc555,59597,0,,0
2544,151,1596043966,0,0,contact,,,,7,194a6a33-be7a-4c5e-b036-6e6d9fc80809,280752,0,,0
2545,151,1596043966,0,0,contact,,,,7,e66d7ce7-d450-435d-af4f-1641b5a946bc,207072,0,,0
2551,88,1596046378,0,0,contact,,,,7,974bf533-30f3-4f92-bb1f-7e9bdfeef8ae,170019,0,,0
2557,145,1596049771,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,170040,0,,0
2563,145,1596051301,0,0,contact,,,,6,4ac14b7f-3be1-47a8-9158-4f1f9a4bc86c,30526,0,,0
2509,145,1596040288,0,0,contact,,,,6,88eb3bfe-c1ee-4065-8825-58c6961a9838,21167,0,,0
2515,145,1596040513,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,10050,0,,0
2521,145,1596040852,0,0,contact,,,,6,88eb3bfe-c1ee-4065-8825-58c6961a9838,424351,0,,0
2527,145,1596041106,0,0,contact,,,,6,88eb3bfe-c1ee-4065-8825-58c6961a9838,116763,0,,0
2533,151,1596041572,0,0,contact,,,,7,516defd8-f075-410f-be06-8cf24dedc555,171095,0,,0
2546,88,1596044178,0,0,contact,,,,7,974bf533-30f3-4f92-bb1f-7e9bdfeef8ae,103355,0,,0
2552,101,1596047963,0,0,outcome,,,ESCAPED,6,,0,0,,0
2558,145,1596050749,0,0,contact,,,,6,4ac14b7f-3be1-47a8-9158-4f1f9a4bc86c,10596,0,,0
2564,145,1596051807,0,0,contact,,,,6,4ac14b7f-3be1-47a8-9158-4f1f9a4bc86c,15776,0,,0
2510,145,1596040323,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,51221,0,,0
2516,145,1596040576,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,52831,0,,0
2522,145,1596040873,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,71408,0,,0
2528,151,1596041105,0,0,contact,,,,7,fe1181e7-fdbb-44e0-bed9-9d0e263c2d39,72863,0,,0
2547,88,1596044325,0,0,contact,,,,7,974bf533-30f3-4f92-bb1f-7e9bdfeef8ae,32015,0,,0
2553,145,1596048003,0,0,contact,,,,6,4d1fa7be-718f-4047-92af-6babb0bf19cc,170043,0,,0
2559,145,1596051165,0,0,contact,,,,6,4ac14b7f-3be1-47a8-9158-4f1f9a4bc86c,145314,0,,0
2565,145,1596051840,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,68883,0,,0
3649,80,1596125007,0,0,quiz,,,,7,,0,2,,100
2497,131,1596039324,0,0,contact,,,,7,3d5ed417-4883-48b3-a7b3-662343ccf3a7,41907,0,,0
2498,131,1596039324,0,0,contact,,,,7,7ff3ae73-ea37-4e95-9147-f03354b01582,57306,0,,0
2511,145,1596040399,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,36386,0,,0
2517,145,1596040600,0,0,contact,,,,6,e33119b4-a5e1-4dce-bade-e997e7b3d634,18318,0,,0
