id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
16089,470,1601060387,0,0,infection,PEER[af2a5ce6-2ccc-45da-9989-94b70a03008a:0],,,29,,0,0,,0
16120,490,1601061526,0,0,infection,PEER[4790ae53-bb6e-4a71-b944-1801390b1f30:0],,,29,,0,0,,0
16077,474,1601059156,0,0,infection,PEER[4790ae53-bb6e-4a71-b944-1801390b1f30:0],,,29,,0,0,,0
15927,472,1601055036,0,0,infection,CASE0[0],,,29,,0,0,,0
15868,477,1601048221,0,0,infection,CASE0[0],,,29,,0,0,,0
16080,491,1601059247,0,0,infection,CASE0[0],,,29,,0,0,,0
16166,470,1601067578,0,0,contact,,,,29,e0c0278f-feb7-4226-b2b2-4d9a181da705,312611,0,,0
16059,484,1601058449,0,0,contact,,,,29,daaf97c9-a904-4962-a454-60f8183caf8b,57596,0,,0
15929,461,1601055277,0,0,contact,,,,29,ba773e6b-0cd4-46ec-aa2b-7f7e32246fd7,1032353,0,,0
15928,461,1601055343,0,0,contact,,,,29,d88d5f11-3380-4e6e-9cfb-f71eae2bba9c,79627,0,,0
15788,463,1601046441,0,0,contact,,,,29,6818b2d0-f38d-418c-a1fd-caa13820b524,113267,0,,0
16165,484,1601067568,0,0,contact,,,,29,daaf97c9-a904-4962-a454-60f8183caf8b,178899,0,,0
16058,470,1601058449,0,0,contact,,,,29,d88d5f11-3380-4e6e-9cfb-f71eae2bba9c,56185,0,,0
15787,463,1601046441,0,0,contact,,,,29,86b587c7-6792-46c6-8130-abd92da17d8a,106762,0,,0
16164,484,1601067381,0,0,contact,,,,29,d49851ce-d40e-46b7-9e88-66d0a42ae94b,175513,0,,0
16057,464,1601058436,0,0,contact,,,,29,af2a5ce6-2ccc-45da-9989-94b70a03008a,33317,0,,0
15926,464,1601054874,0,0,contact,,,,29,4790ae53-bb6e-4a71-b944-1801390b1f30,1255101,0,,0
15786,464,1601046435,0,0,contact,,,,29,40142037-b6db-4bdf-8e19-1246632a1071,113759,0,,0
16163,484,1601067339,0,0,contact,,,,29,e0c0278f-feb7-4226-b2b2-4d9a181da705,70817,0,,0
16056,470,1601058436,0,0,contact,,,,29,4790ae53-bb6e-4a71-b944-1801390b1f30,163231,0,,0
