id,user_id,time,lat,lng,type,inf,falsePostive,out,sim_id,peer_id,contact_length,quiz_id,modifier,score
337650,919,1604670546,0,0,falsePositive,,-,,33,,0,0,,0
337649,919,1604670532,0,0,falsePositive,,+,,33,,0,0,,0
337648,919,1604670412,0,0,falsePositive,,-,,33,,0,0,,0
337647,919,1604670392,0,0,falsePositive,,+,,33,,0,0,,0
337646,919,1604669711,0,0,falsePositive,,-,,33,,0,0,,0
337645,919,1604669669,0,0,falsePositive,,+,,33,,0,0,,0
337644,919,1604669651,0,0,falsePositive,,-,,33,,0,0,,0
337643,919,1604669615,0,0,falsePositive,,+,,33,,0,0,,0
337642,919,1604669433,0,0,falsePositive,,-,,33,,0,0,,0
337641,919,1604669411,0,0,falsePositive,,+,,33,,0,0,,0
337640,919,1604669065,0,0,falsePositive,,-,,33,,0,0,,0
337639,919,1604669051,0,0,falsePositive,,+,,33,,0,0,,0
337638,919,1604668893,0,0,falsePositive,,-,,33,,0,0,,0
337637,919,1604668863,0,0,falsePositive,,+,,33,,0,0,,0
337636,919,1604668831,0,0,falsePositive,,-,,33,,0,0,,0
337635,919,1604668821,0,0,falsePositive,,+,,33,,0,0,,0
337634,919,1604668811,0,0,falsePositive,,-,,33,,0,0,,0
337633,919,1604668781,0,0,falsePositive,,+,,33,,0,0,,0
337632,919,1604668627,0,0,falsePositive,,-,,33,,0,0,,0
337631,919,1604668609,0,0,falsePositive,,+,,33,,0,0,,0
337630,919,1604668545,0,0,falsePositive,,-,,33,,0,0,,0
337629,919,1604668535,0,0,falsePositive,,+,,33,,0,0,,0
337628,919,1604668524,0,0,falsePositive,,+,,33,,0,0,,0
337627,919,1604668362,0,0,falsePositive,,-,,33,,0,0,,0
337626,919,1604668324,0,0,falsePositive,,+,,33,,0,0,,0
337625,919,1604667742,0,0,falsePositive,,-,,33,,0,0,,0
337624,919,1604667728,0,0,falsePositive,,+,,33,,0,0,,0
337623,919,1604667664,0,0,falsePositive,,-,,33,,0,0,,0
337622,919,1604667648,0,0,falsePositive,,+,,33,,0,0,,0
337621,919,1604667270,0,0,falsePositive,,-,,33,,0,0,,0
337620,919,1604667242,0,0,falsePositive,,+,,33,,0,0,,0
337619,919,1604667040,0,0,falsePositive,,-,,33,,0,0,,0
337618,919,1604667007,0,0,falsePositive,,+,,33,,0,0,,0
337617,919,1604666601,0,0,falsePositive,,-,,33,,0,0,,0
337616,919,1604666591,0,0,falsePositive,,+,,33,,0,0,,0
337615,919,1604666396,0,0,falsePositive,,-,,33,,0,0,,0
337614,919,1604666386,0,0,falsePositive,,+,,33,,0,0,,0
337613,919,1604666382,0,0,falsePositive,,+,,33,,0,0,,0
337612,919,1604666101,0,0,falsePositive,,-,,33,,0,0,,0
337611,919,1604666087,0,0,falsePositive,,+,,33,,0,0,,0
337610,919,1604664694,0,0,falsePositive,,-,,33,,0,0,,0
337609,919,1604664635,0,0,falsePositive,,+,,33,,0,0,,0
337608,919,1604662562,0,0,falsePositive,,-,,33,,0,0,,0
337607,919,1604662562,0,0,falsePositive,,+,,33,,0,0,,0
337606,919,1604662379,0,0,falsePositive,,-,,33,,0,0,,0
337605,919,1604662340,0,0,falsePositive,,+,,33,,0,0,,0
337604,919,1604661742,0,0,falsePositive,,-,,33,,0,0,,0
337603,919,1604661713,0,0,falsePositive,,+,,33,,0,0,,0
337602,919,1604659107,0,0,falsePositive,,-,,33,,0,0,,0
337601,919,1604659088,0,0,falsePositive,,+,,33,,0,0,,0
337600,919,1604658989,0,0,falsePositive,,+,,33,,0,0,,0
337599,919,1604658989,0,0,falsePositive,,-,,33,,0,0,,0
337598,919,1604658300,0,0,falsePositive,,-,,33,,0,0,,0
337597,919,1604658300,0,0,falsePositive,,+,,33,,0,0,,0
337596,919,1604656247,0,0,falsePositive,,-,,33,,0,0,,0
337595,919,1604656211,0,0,falsePositive,,+,,33,,0,0,,0
337594,919,1604655926,0,0,falsePositive,,-,,33,,0,0,,0
337593,919,1604655890,0,0,falsePositive,,+,,33,,0,0,,0
337592,919,1604655782,0,0,falsePositive,,-,,33,,0,0,,0
337591,919,1604655766,0,0,falsePositive,,+,,33,,0,0,,0
337590,919,1604655210,0,0,falsePositive,,-,,33,,0,0,,0
337589,919,1604655146,0,0,falsePositive,,+,,33,,0,0,,0
337588,919,1604654900,0,0,falsePositive,,-,,33,,0,0,,0
337587,919,1604654872,0,0,falsePositive,,+,,33,,0,0,,0
337586,919,1604654715,0,0,falsePositive,,-,,33,,0,0,,0
337585,919,1604654695,0,0,falsePositive,,+,,33,,0,0,,0
337584,919,1604653087,0,0,falsePositive,,-,,33,,0,0,,0
337583,919,1604653028,0,0,falsePositive,,+,,33,,0,0,,0
337582,919,1604650772,0,0,falsePositive,,+,,33,,0,0,,0
337581,919,1604650772,0,0,falsePositive,,-,,33,,0,0,,0
337580,919,1604649570,0,0,falsePositive,,-,,33,,0,0,,0
337579,919,1604649552,0,0,falsePositive,,+,,33,,0,0,,0
337578,919,1604648393,0,0,falsePositive,,-,,33,,0,0,,0
337577,919,1604648348,0,0,falsePositive,,+,,33,,0,0,,0
337576,919,1604648204,0,0,falsePositive,,-,,33,,0,0,,0
337575,919,1604648154,0,0,falsePositive,,+,,33,,0,0,,0
337574,919,1604647298,0,0,falsePositive,,-,,33,,0,0,,0
337573,919,1604647273,0,0,falsePositive,,+,,33,,0,0,,0
337572,919,1604644370,0,0,falsePositive,,-,,33,,0,0,,0
