{
{TIME:1552587181,OUT:DEAD},
{TIME:1552582447,LOC:(27.3400143;-82.3995498)},
{TIME:1552582428,LOC:(27.340034;-82.3995471)},
{TIME:1552582408,LOC:(27.3400324;-82.3995939)},
{TIME:1552582347,LOC:(27.3400232;-82.3995831)},
{TIME:1552582326,LOC:(27.3400058;-82.3995497)},
{TIME:1552582306,LOC:(27.3399976;-82.3995644)},
{TIME:1552582286,LOC:(27.3400244;-82.3995827)},
{TIME:1552582266,LOC:(27.3400084;-82.39959)},
{TIME:1552582246,LOC:(27.3400056;-82.3995503)},
{TIME:1552582096,LOC:(27.3400069;-82.3995897)},
{TIME:1552582071,LOC:(27.339975;-82.3996458)},
{TIME:1552582042,LOC:(27.3399123;-82.3996528)},
{TIME:1552582022,LOC:(27.3399324;-82.3996459)},
{TIME:1552581941,LOC:(27.3399831;-82.3996338)},
{TIME:1552581899,LOC:(27.3399704;-82.3996293)},
{TIME:1552581853,LOC:(27.3400194;-82.3995385)},
{TIME:1552581828,LOC:(27.3397958;-82.399556)},
{TIME:1552581807,LOC:(27.33964;-82.3994884)},
{TIME:1552581767,LOC:(27.3395084;-82.3993652)},
{TIME:1552581747,LOC:(27.3395277;-82.3995097)},
{TIME:1552581707,LOC:(27.3395413;-82.3994221)},
{TIME:1552581627,LOC:(27.3395394;-82.3993164)},
{TIME:1552581585,LOC:(27.3395228;-82.3993059)},
{TIME:1552581545,LOC:(27.3399003;-82.3992628)},
{TIME:1552581525,LOC:(27.3400266;-82.3994603)},
{TIME:1552581505,LOC:(27.3400557;-82.3993021)},
{TIME:1552581465,LOC:(27.3396472;-82.3994782)},
{TIME:1552581445,LOC:(27.3399336;-82.3995308)},
{TIME:1552581403,LOC:(27.3399748;-82.3994651)},
{TIME:1552581362,LOC:(27.3399691;-82.3994496)},
{TIME:1552581319,LOC:(27.3399901;-82.3995277)},
{TIME:1552581274,LOC:(27.3399982;-82.3992716)},
{TIME:1552581253,LOC:(27.3402221;-82.3992294)},
{TIME:1552581233,LOC:(27.340483;-82.3991887)},
{TIME:1552581213,LOC:(27.3404736;-82.3992705)},
{TIME:1552581192,LOC:(27.3403532;-82.399268)},
{TIME:1552581150,LOC:(27.3400179;-82.3993444)},
{TIME:1552581125,LOC:(27.3399927;-82.3995668)},
{TIME:1552581102,LOC:(27.3399003;-82.399564)},
{TIME:1552581078,LOC:(27.3396753;-82.3995376)},
{TIME:1552581038,LOC:(27.3394122;-82.3995048)},
{TIME:1552581019,LOC:(27.3393484;-82.3995268)},
{TIME:1552580978,LOC:(27.3395214;-82.3996572)},
{TIME:1552580937,LOC:(27.3395453;-82.3996109)},
{TIME:1552580917,LOC:(27.3393929;-82.3995814)},
{TIME:1552580882,LOC:(27.33938;-82.399528)},
{TIME:1552580870,LOC:(27.3394492;-82.3995533)},
{TIME:1552580846,LOC:(27.339545;-82.3996332)},
{TIME:1552580802,LOC:(27.3395357;-82.3996044)},
{TIME:1552580762,LOC:(27.3395177;-82.3996315)},
{TIME:1552580723,LOC:(27.3395282;-82.3996211)},
{TIME:1552580681,LOC:(27.3395135;-82.3995839)},
{TIME:1552580637,LOC:(27.3394681;-82.3996306)},
{TIME:1552580597,LOC:(27.3394396;-82.3996526)},
{TIME:1552580556,LOC:(27.3394122;-82.3996374)},
{TIME:1552580511,LOC:(27.3393241;-82.3995405)},
